Commodity,January 2015,February 2015,March 2015,April 2015,May 2015,June 2015,July 2015,August 2015,September 2015,October 2015,November 2015,December 2015,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019
"66 Umbrellas, Walking-sticks, Riding-crops Etc, Parts",,"20,696",,"62,965","74,990","12,004",,,"65,051","2,792",,,"116,197","5,939","45,663","20,297","80,345","53,974","6,935","35,528",,"24,645","4,165","13,724",,"15,865","52,330","39,098","75,832",,"15,317","33,330","4,657","40,489","106,527","44,574","156,185","94,153","91,498","34,430","84,340","44,286","141,310","123,536","51,749","16,895","60,932","15,349","37,821","33,684","33,557","9,662","176,992","62,413",,"110,928"
"67 Prep Feathers, Down Etc; Artif Flowers; H Hair Art","65,913","687,967","304,832","1,034,540","363,107","911,629","472,631","356,834","613,238","328,506","886,243","165,091","259,061","142,296","597,743","1,893,326","752,706","328,734","125,521","584,574","613,616","1,721,505","167,261","48,038","339,690","321,436","532,372","247,628","1,768,862","824,085","406,948","329,082","711,605","415,686","625,929","601,826","313,295","548,903","828,011","154,600","889,308","2,103,631","428,528","421,004","1,629,629","635,017","1,732,027","204,163","409,117","564,057","185,990","202,619","318,275","229,733","713,625","1,433,275"
"68 Art Of Stone, Plaster, Cement, Asbestos, Mica Etc.","14,524,238","16,317,406","21,701,603","19,813,221","23,098,129","19,409,251","19,163,272","19,048,330","15,083,963","19,818,632","18,319,474","21,110,821","17,860,615","16,821,030","19,944,050","18,142,786","20,019,626","19,904,099","22,418,946","21,293,529","21,474,419","22,249,905","22,223,325","21,747,378","21,881,923","20,092,459","26,952,362","24,050,590","19,927,557","19,020,159","18,804,831","22,398,612","22,596,158","22,125,691","24,336,479","23,869,198","16,728,010","20,771,423","21,859,084","23,804,750","20,116,384","22,651,674","20,734,493","19,093,052","17,463,883","18,270,896","16,628,681","18,053,921","16,462,198","16,168,107","19,957,096","19,142,948","18,195,935","15,331,041","17,577,570","22,764,544"
69 Ceramic Products,"7,090,998","5,966,243","9,206,230","8,395,014","10,807,435","7,722,837","8,292,792","6,233,265","5,985,169","7,920,842","5,239,687","6,764,869","9,083,199","6,431,284","7,593,163","10,570,956","9,704,696","12,793,456","8,854,377","7,834,976","8,030,133","8,466,886","10,172,115","9,830,272","8,333,468","11,837,590","10,475,414","9,492,187","8,288,431","9,050,979","9,499,966","10,567,497","10,579,345","11,580,135","9,653,004","10,882,152","10,436,937","8,822,097","15,249,057","7,915,269","12,879,787","13,776,857","10,953,422","13,968,085","13,217,165","13,630,807","13,288,474","14,070,609","15,881,781","13,017,828","13,415,775","10,359,682","17,155,697","14,256,919","14,360,715","17,662,398"
70 Glass And Glassware,"28,076,739","24,925,140","28,775,855","27,697,582","30,222,184","27,033,418","28,783,288","24,922,083","27,561,862","30,532,540","32,153,704","31,744,894","28,814,207","22,883,871","25,268,157","29,030,308","29,060,032","29,495,536","30,042,327","26,976,256","27,716,823","30,150,204","29,707,111","31,904,340","30,161,309","27,966,101","40,997,443","40,361,762","36,076,136","33,745,245","34,333,992","33,797,337","32,693,457","34,765,645","35,543,150","43,855,060","34,834,937","31,706,376","48,198,025","34,280,572","37,033,172","42,270,568","35,003,438","39,459,582","36,102,714","37,124,248","33,851,362","36,844,122","28,776,971","24,486,346","33,220,493","34,179,372","30,369,284","35,740,624","27,818,273","29,252,989"
"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","54,822,804","28,714,461","70,544,337","27,904,990","58,563,713","82,747,554","41,598,956","42,105,530","35,379,523","49,303,285","39,082,878","97,646,576","52,629,935","37,892,357","39,724,316","50,737,766","37,797,058","33,208,951","44,399,915","53,863,862","42,720,550","34,788,316","110,616,864","55,616,738","101,626,187","37,844,565","81,936,157","45,588,442","161,110,866","175,259,613","116,054,360","127,593,981","88,011,405","118,184,039","50,426,460","75,618,904","97,406,930","88,259,760","280,097,749","227,707,466","149,789,950","373,634,804","67,448,946","114,460,630","52,342,621","76,378,968","64,551,049","66,288,800","52,172,955","37,247,445","66,103,438","63,270,020","145,103,910","89,558,534","59,943,772","118,183,530"
72 Iron And Steel,"56,943,571","65,172,358","85,915,750","84,615,592","91,960,482","90,008,652","85,655,385","68,486,476","64,933,972","71,475,832","68,784,879","62,130,953","50,547,421","55,349,941","57,225,607","61,318,267","64,478,582","65,029,568","67,023,646","74,948,391","73,474,336","90,212,497","94,424,301","107,623,773","89,159,437","79,918,740","106,615,220","108,146,886","88,039,244","82,648,565","91,030,543","93,579,218","86,070,557","88,354,415","80,818,881","73,457,610","81,280,187","79,053,842","60,042,512","88,147,207","42,178,617","38,207,686","38,838,014","25,760,666","30,729,478","31,066,768","22,010,481","20,559,501","18,031,262","23,794,788","27,602,698","24,474,273","19,607,625","23,817,912","18,975,236","20,774,515"
73 Articles Of Iron Or Steel,"57,270,056","55,054,598","90,131,539","64,145,459","78,682,079","66,568,922","71,415,103","50,453,025","50,313,295","50,342,801","65,227,650","65,514,050","64,692,816","47,363,719","55,234,278","52,260,625","47,879,726","46,623,498","51,595,935","58,833,843","66,135,650","53,587,261","52,427,540","61,869,973","49,830,376","47,837,562","61,820,451","58,662,094","59,809,574","52,472,836","53,174,420","68,083,953","51,723,082","68,108,634","65,202,205","71,692,267","52,764,516","71,375,183","78,222,891","59,003,195","65,594,673","63,189,078","54,237,059","56,304,784","54,997,463","63,075,616","54,819,353","50,120,025","40,154,181","46,259,249","60,137,728","51,209,392","56,660,055","47,391,928","44,243,188","49,099,640"
74 Copper And Articles Thereof,"134,564,605","143,629,892","153,752,133","166,652,419","179,654,576","185,340,644","164,395,215","159,617,025","147,999,530","153,105,430","142,037,624","105,646,810","99,131,163","128,722,174","188,087,162","177,722,746","151,803,980","120,297,773","129,111,792","128,952,353","117,553,937","138,659,969","129,490,712","188,071,266","156,317,938","138,968,406","187,693,952","161,497,989","140,342,284","138,500,116","149,047,943","155,612,304","167,662,707","178,960,079","184,089,180","177,514,010","150,869,646","178,255,592","190,890,006","190,883,117","96,273,644","78,109,948","118,416,427","66,875,482","74,583,397","178,064,779","196,919,238","50,624,232","32,357,828","47,412,606","71,001,737","75,233,444","63,402,571","49,100,203","51,018,414","37,400,479"
75 Nickel And Articles Thereof,"19,497,326","15,583,459","25,658,103","30,068,641","16,772,413","17,123,806","15,727,310","27,183,394","16,208,534","19,387,019","15,420,138","14,289,106","15,571,460","11,855,588","17,960,924","13,655,610","13,631,375","16,199,817","18,436,570","14,634,269","15,668,638","23,947,931","19,578,378","18,081,379","18,017,527","14,102,339","14,452,319","14,114,346","14,239,561","18,630,690","21,658,357","23,681,689","23,707,926","25,555,768","21,667,976","19,956,111","22,157,890","16,618,729","22,965,381","17,507,296","19,098,151","24,196,940","23,525,613","20,559,693","19,516,457","34,378,941","28,371,550","25,900,105","26,022,321","20,780,854","27,493,897","23,215,793","26,754,863","32,686,543","26,190,595","21,604,073"
76 Aluminum And Articles Thereof,"114,347,587","120,484,240","138,381,879","152,550,038","155,521,410","161,769,754","163,611,917","153,052,908","133,027,930","128,870,699","121,715,724","95,398,135","90,337,761","98,794,178","93,307,579","95,229,951","120,736,730","111,326,503","106,364,286","109,193,618","100,308,725","102,362,571","103,434,417","107,937,774","105,286,294","109,273,078","137,112,886","122,619,708","128,921,014","114,032,961","120,065,947","122,277,196","121,110,328","149,264,149","138,871,239","142,716,477","108,409,398","121,460,192","128,444,401","111,225,713","83,920,168","73,214,618","68,767,165","55,248,986","49,719,491","59,064,726","73,693,988","76,565,396","61,527,098","66,980,815","76,895,660","78,666,807","76,075,974","65,864,507","59,224,240","54,311,582"
78 Lead And Articles Thereof,"80,144","32,097","83,800","231,545","1,211,847","92,577","52,594","27,045","72,487","225,165","77,220","947,209","384,254","407,099","203,375","108,457","133,711","148,709","414,166","485,504","182,600","67,149","76,814","263,207","272,743","142,313","359,285","403,216","94,674","20,583","197,275","41,090","349,488","250,247","60,229","276,861","207,144","307,673","74,095","130,001","69,828","62,290","97,527","10,472,654","23,976,795","17,805,801","21,401,493","6,782,352","3,737,260","246,512","91,950","58,995","27,638","142,575","68,858","73,440"
79 Zinc And Articles Thereof,"4,785,699","5,091,520","4,843,931","4,851,571","4,304,584","3,556,889","4,418,710","5,209,638","5,499,781","7,127,282","4,344,007","4,086,947","8,581,564","26,745,775","14,453,591","3,390,194","2,609,939","1,683,145","2,055,218","2,062,389","2,339,518","1,859,937","1,349,895","4,449,036","874,608","2,230,795","2,886,685","1,802,567","1,657,423","7,280,258","3,625,295","1,814,488","7,796,021","4,372,971","11,176,632","6,817,766","6,585,593","4,254,885","3,684,166","2,240,037","3,451,673","1,425,301","1,797,587","1,542,461","1,463,224","1,763,069","8,370,118","462,048","744,475","26,525,983","473,200","461,646","722,376","529,573","513,398","681,531"
80 Tin And Articles Thereof,"69,674","48,290","131,726","58,984","58,829","213,475","57,161","603,686","454,484","1,021,222","762,859","447,656","780,604","879,977","703,135","238,979","768,599","377,359","551,012","621,497","473,856","488,213","431,381","789,041","320,768","394,678","587,817","1,009,714","576,094","741,283","785,004","473,737","556,804","613,321","430,962","460,933","292,436","608,911","766,518","583,747","533,976","630,482","699,050","715,907","646,674","966,764","626,158","704,234","371,576","709,113","703,629","595,038","441,629","710,397","386,431","521,666"
81 Base Metals Nesoi; Cermets; Articles Thereof,"10,628,018","10,834,382","13,265,301","19,137,604","13,438,375","14,079,217","18,512,154","15,991,650","10,438,720","13,282,927","11,593,651","13,461,418","10,163,288","9,835,646","12,326,975","11,837,638","11,618,798","14,559,172","13,190,949","9,723,966","8,057,563","11,682,201","10,130,243","11,258,872","13,647,869","8,277,747","10,300,069","12,435,828","10,674,281","11,760,997","12,852,037","14,230,155","12,234,685","11,220,986","11,926,494","13,775,865","10,881,575","12,099,029","15,401,636","15,068,657","16,093,665","15,474,230","12,869,004","14,050,773","12,520,275","17,396,937","16,242,063","16,222,897","15,886,936","11,738,118","19,956,794","15,668,176","19,867,003","17,008,158","18,057,591","18,311,160"
"82 Tools, Cutlery Etc. Of Base Metal & Parts Thereof","15,519,316","13,522,229","18,628,166","16,721,130","16,398,297","14,230,384","16,158,783","19,481,468","15,292,963","16,741,343","14,781,318","15,219,580","15,289,380","14,398,182","15,562,616","16,937,681","15,410,161","15,054,708","13,788,433","14,195,299","12,189,202","15,952,152","15,821,792","15,296,801","12,949,525","13,701,495","14,909,407","15,753,837","18,360,226","14,936,523","15,853,606","14,799,348","15,480,096","15,045,886","15,945,793","17,993,287","15,311,262","13,624,415","19,067,849","16,574,753","17,723,118","16,628,946","12,677,197","16,644,030","13,714,023","18,280,823","17,058,657","16,707,467","16,138,570","12,745,295","18,336,123","18,517,165","16,546,760","14,180,723","12,526,952","13,873,384"
83 Miscellaneous Articles Of Base Metal,"12,881,775","13,815,113","14,275,421","16,232,917","14,851,696","13,168,364","15,021,935","14,101,811","10,986,879","11,419,101","15,011,357","16,125,286","14,711,375","15,815,095","14,224,219","15,146,528","13,758,004","14,106,552","13,968,565","13,861,768","18,142,993","18,034,838","17,673,462","17,964,395","14,907,129","15,904,162","17,656,105","17,127,816","15,590,714","17,077,192","14,954,077","14,916,090","14,474,518","15,032,910","16,564,000","14,346,787","13,560,570","12,315,703","17,819,873","16,556,125","16,296,460","16,847,812","16,192,077","17,042,286","13,531,623","16,901,007","15,026,737","16,982,286","13,512,677","12,359,585","17,062,467","16,765,814","18,505,217","18,773,618","15,028,872","15,709,100"
"84 Nuclear Reactors, Boilers, Machinery Etc.; Parts","957,463,041","984,417,903","1,183,324,284","1,105,405,248","1,058,032,197","979,380,908","1,238,302,297","1,195,718,952","928,185,124","880,409,556","768,361,529","968,768,050","863,714,832","915,290,775","1,206,274,382","1,092,112,539","873,447,374","890,803,704","883,685,483","889,293,145","822,415,097","1,046,696,015","823,283,554","1,080,253,559","882,985,995","1,093,673,454","1,102,270,395","1,089,409,485","1,119,834,767","1,085,095,558","1,038,998,037","1,075,181,034","973,433,192","1,113,815,556","1,029,403,539","1,288,636,613","942,200,605","906,208,990","1,312,100,042","1,239,639,053","1,330,753,832","1,450,382,477","1,447,695,000","1,193,919,807","1,150,732,054","1,143,138,178","924,682,560","1,158,295,624","865,007,671","815,023,950","1,122,819,468","1,189,172,147","1,245,048,983","1,245,223,714","1,031,894,477","1,062,177,971"
85 Electric Machinery Etc; Sound Equip; Tv Equip; Pts,"1,020,618,208","839,347,083","1,074,231,123","1,052,252,389","1,021,133,941","1,074,137,617","1,192,486,756","1,116,853,507","1,106,661,910","1,075,267,276","1,013,481,217","1,166,501,051","1,017,994,729","811,161,181","1,155,245,124","977,617,299","1,060,348,182","973,260,298","1,005,278,287","1,094,114,930","1,052,406,451","1,106,492,920","993,247,975","1,131,274,665","1,024,193,863","927,057,704","960,122,231","961,162,658","970,883,203","1,068,029,143","980,985,193","1,045,678,558","1,069,941,079","1,087,660,841","1,016,239,930","1,017,886,398","1,062,297,474","861,012,705","1,107,262,316","1,012,060,725","999,669,476","1,057,592,152","999,412,195","1,177,762,670","1,028,664,312","1,170,973,508","1,169,560,615","1,233,631,419","1,044,695,755","1,276,400,579","1,366,924,383","1,203,801,992","1,191,545,258","1,126,598,935","1,065,885,728","1,211,799,576"
86 Railway Or Tramway Stock Etc; Traffic Signal Equip,"7,629,856","3,114,647","2,144,576","3,721,043","2,528,443","1,938,175","2,218,891","8,208,431","12,032,326","3,213,213","3,871,900","15,824,433","2,500,423","10,708,172","1,945,269","3,282,067","2,758,666","7,215,381","6,126,231","4,531,868","7,015,729","10,212,371","3,594,244","3,095,117","4,849,409","3,538,690","5,987,691","3,342,683","1,760,246","1,309,282","1,113,859","8,284,143","1,460,648","1,655,618","1,165,030","4,944,802","2,198,077","2,074,267","2,180,358","1,844,372","2,470,193","2,993,060","3,659,579","2,997,148","4,701,609","6,040,420","3,603,722","3,923,939","5,925,392","3,319,218","2,975,655","4,606,924","3,793,110","3,780,566","4,497,080","1,789,998"
"87 Vehicles, Except Railway Or Tramway, And Parts Etc","655,777,861","807,506,358","911,086,642","896,839,890","973,601,988","960,929,574","954,033,587","950,497,663","1,175,049,598","840,204,528","1,022,091,899","661,190,159","570,585,277","882,606,048","1,008,924,817","794,895,479","1,009,745,077","879,130,357","854,092,264","966,996,936","942,450,405","1,147,718,052","1,147,529,694","861,764,081","732,733,137","1,173,707,193","1,092,343,173","1,098,641,041","1,151,564,266","1,242,742,291","1,012,385,340","1,276,674,146","850,764,274","1,026,662,359","1,198,665,088","1,005,783,167","647,701,532","1,063,312,136","999,393,510","1,116,634,680","1,026,699,916","751,927,272","724,995,648","684,393,664","647,748,204","611,417,798","712,165,477","394,723,737","516,250,979","943,154,388","908,532,710","560,160,962","637,282,926","635,768,893","675,442,474","776,591,231"
"88 Aircraft, Spacecraft, And Parts Thereof","1,161,142,457","937,543,528","1,065,526,846","1,274,436,863","873,892,815","1,955,240,949","1,355,156,988","1,396,123,645","1,358,735,407","1,284,002,433","1,134,917,905","1,644,268,716","660,146,377","426,585,676","689,948,751","1,491,425,502","1,323,201,937","1,903,717,981","1,591,793,216","1,378,139,502","1,594,975,651","1,195,180,799","1,078,259,739","1,244,592,309","942,681,122","532,611,915","613,642,713","1,251,043,623","1,213,301,687","1,242,128,088","1,927,031,741","1,918,620,978","1,656,755,164","1,030,248,352","1,368,135,193","2,569,368,782","721,937,621","740,751,514","1,889,131,421","903,551,980","1,174,725,558","1,430,252,752","1,441,196,199","1,454,448,521","2,905,327,501","1,698,413,956","1,622,513,204","2,239,662,221","539,820,772","1,061,613,809","1,644,444,159","751,463,949","712,961,722","802,047,413","1,100,717,500","917,540,118"
"89 Ships, Boats And Floating Structures","2,424,187","2,117,058","2,431,278","2,372,440","4,279,562","1,985,217","2,086,880","1,048,374","1,037,478","1,525,980","664,519","1,876,168","7,522,550","2,551,997","3,969,865","2,939,817","2,213,790","1,378,821","1,608,646","1,302,106","1,622,111","1,363,662","1,637,995","740,803","1,726,063","2,828,110","2,848,025","2,399,085","2,255,143","3,820,543","1,163,388","1,125,191","1,914,831","2,613,689","1,858,798","678,381","1,939,601","3,909,442","4,287,623","2,996,899","1,149,537","1,139,022","881,866","1,304,442","695,483","364,834","981,067","1,929,158","999,379","2,086,673","536,207","1,143,274","1,913,043","1,192,378","477,150","524,135"
"90 Optic, Photo Etc, Medic Or Surgical Instrments Etc","593,294,526","465,262,494","813,899,512","629,851,090","670,734,554","679,631,840","637,893,170","641,494,100","704,775,005","688,308,933","608,231,242","787,457,009","569,996,145","545,731,915","804,870,750","648,119,267","713,063,741","751,628,889","661,429,264","710,475,813","686,302,661","715,609,598","684,369,278","775,448,903","497,081,694","637,341,218","787,340,087","745,817,046","723,309,492","838,461,408","653,685,132","752,791,028","769,648,862","769,148,052","747,985,386","895,762,253","669,564,279","553,435,621","940,100,733","793,470,085","862,150,278","961,949,412","839,088,199","973,333,221","806,145,006","759,395,820","773,026,699","856,418,878","656,778,630","642,387,033","925,140,494","738,501,209","929,850,114","877,263,110","729,894,161","849,372,885"
91 Clocks And Watches And Parts Thereof,"593,927","1,573,871","675,935","370,147","315,905","866,387","8,005,129","2,045,560","1,212,675","935,906","1,520,913","3,146,600","1,173,436","582,891","882,195","1,079,584","829,882","1,298,879","1,403,940","1,138,062","930,721","1,205,093","890,991","4,088,691","419,552","863,349","1,248,419","1,234,065","1,203,813","999,230","848,564","1,073,652","967,199","986,660","694,133","996,238","724,886","702,109","969,812","1,281,257","1,760,913","889,487","953,232","2,417,220","618,622","657,766","567,360","933,671","405,670","416,447","468,680","348,354","472,522","436,801","876,267","792,256"
92 Musical Instruments; Parts And Accessories Thereof,"2,678,236","2,033,860","1,725,385","1,459,724","1,934,785","2,190,954","2,033,840","1,899,504","1,384,729","1,187,956","2,467,899","1,695,811","1,320,815","1,163,349","1,303,936","1,923,039","2,135,327","2,036,472","2,456,539","2,021,393","2,739,626","1,242,696","1,647,644","3,118,205","1,080,689","1,672,668","6,375,370","2,463,271","5,421,101","3,248,096","2,092,374","2,132,391","2,257,053","2,611,916","2,395,951","3,263,720","1,732,701","1,439,312","2,892,330","2,542,372","3,402,545","2,440,290","3,252,582","3,367,550","3,167,611","2,744,719","3,648,096","2,255,129","1,457,243","3,249,326","2,466,829","1,472,956","4,121,826","2,530,514","2,400,520","2,429,370"
93 Arms And Ammunition; Parts And Accessories Thereof,"65,765","135,376","43,738","62,586","27,150","32,942","44,795","536,789","5,873","22,112","224,900","390,477","9,474","3,913","16,037","66,926","69,192","50,925","18,512","34,271","12,475","20,073","18,946","25,500","23,670","32,961","13,047","31,564","271,478","68,982","173,381","7,140","179,813","90,041","43,616","655,053",,"18,653","42,520","96,096","186,791","50,109","62,611","45,990","41,126","190,445","71,503","128,163","90,012","126,134","246,222","96,634","32,351","39,367","94,452","24,042"
94 Furniture; Bedding Etc; Lamps Nesoi Etc; Prefab Bd,"23,113,175","24,778,852","29,671,622","24,622,659","24,602,141","27,002,704","26,594,323","24,703,625","24,188,261","29,497,635","27,898,729","27,965,395","21,916,367","22,938,881","25,780,850","25,134,328","24,711,939","19,945,209","24,211,329","28,234,739","21,459,019","25,838,345","23,297,322","22,921,253","20,393,821","18,609,323","24,780,620","26,059,548","22,775,778","28,887,457","24,185,749","23,502,941","23,353,074","24,946,695","20,199,888","23,408,216","18,444,963","19,892,235","27,908,492","22,717,497","23,171,171","31,101,042","28,266,436","33,324,859","22,318,010","24,078,191","20,414,261","19,390,663","17,816,227","16,175,634","23,170,530","18,057,062","20,445,745","16,708,721","14,398,624","18,082,024"
"95 Toys, Games & Sport Equipment; Parts & Accessories","7,293,599","8,370,660","13,311,679","14,716,198","10,676,277","12,173,469","15,823,817","15,412,401","16,325,464","15,684,870","15,603,757","14,814,213","19,164,140","17,204,706","18,131,800","26,364,407","11,677,885","9,664,004","13,460,473","15,392,240","13,900,682","15,956,944","12,168,790","8,925,076","11,849,580","20,896,542","17,250,682","18,595,311","15,878,960","17,797,113","17,513,862","14,836,975","14,919,997","16,876,407","12,282,120","11,708,048","9,248,309","12,357,708","16,533,620","14,432,950","15,883,208","19,404,597","18,541,642","16,197,592","23,218,303","17,355,332","20,448,542","11,916,427","8,654,306","9,317,062","11,640,678","15,149,571","21,569,667","13,884,003","19,479,388","18,394,017"
96 Miscellaneous Manufactured Articles,"2,643,053","2,677,802","5,051,181","4,550,484","5,535,331","6,614,135","2,972,066","4,817,876","3,285,146","5,821,829","5,459,233","5,350,218","5,614,310","4,431,136","7,063,772","12,950,331","10,675,042","8,478,700","6,793,115","7,259,007","3,699,184","5,516,871","4,042,327","4,869,201","2,749,934","6,037,243","5,496,634","3,890,677","5,045,490","3,629,896","5,759,106","6,774,525","5,097,572","6,189,609","9,855,374","8,306,873","5,721,133","4,213,222","8,959,060","5,422,790","7,552,498","5,621,425","8,866,750","7,931,946","4,164,557","4,029,971","5,057,757","4,721,596","3,181,176","3,142,312","5,013,744","5,300,281","5,489,396","5,940,692","4,331,614","5,423,136"
"97 Works Of Art, Collectors' Pieces And Antiques","1,283,349","26,801,945","15,379,837","3,285,383","7,823,189","5,445,136","6,372,854","4,539,447","10,313,046","9,653,627","3,867,268","6,507,086","5,602,495","1,799,734","13,093,080","3,760,693","5,947,076","2,715,255","3,353,382","5,121,121","5,003,819","27,978,125","8,595,842","701,006","3,002,443","1,452,543","10,404,455","5,108,380","13,242,004","4,316,077","3,673,645","6,254,844","8,215,234","26,289,304","2,044,469","8,767,509","2,342,385","2,722,196","8,643,483","10,648,940","6,448,071","2,654,754","3,286,013","9,887,931","6,673,134","44,182,249","7,548,430","4,519,961","1,578,777","10,073,242","5,409,277","7,742,435","10,778,342","2,908,753","2,231,267","3,204,075"
"98 Special Classification Provisions, Nesoi","78,323,095","78,172,433","83,047,120","73,775,807","72,311,179","72,877,298","72,217,450","83,991,759","78,557,926","91,269,967","90,525,758","80,286,116","77,418,826","79,868,416","77,854,527","67,391,659","68,934,198","74,328,087","78,940,636","86,866,164","95,071,840","111,005,335","105,759,473","99,794,018","106,511,490","86,537,901","89,456,706","98,089,118","94,489,124","90,245,165","90,306,680","97,232,474","92,318,007","120,272,496","106,260,685","100,641,265","89,367,538","93,449,239","120,546,333","84,700,953","116,710,412","98,765,186","106,359,971","91,252,420","76,693,929","101,106,837","78,133,218","82,971,298","82,441,915","90,338,828","105,807,451","94,743,430","98,144,571","91,120,447","86,924,283","98,254,056"
"99 Special Import Provisions, Nesoi","78,323,095","78,172,433","83,047,120","73,775,807","72,311,179","72,877,298","72,217,450","83,991,759","78,557,926","91,269,967","90,525,758","80,286,116","77,418,826","79,868,416","77,854,527","67,391,659","68,934,198","74,328,087","78,940,636","86,866,164","95,071,840","111,005,335","105,759,473","99,794,018","106,511,490","86,537,901","89,456,706","98,089,118","94,489,124","90,245,165","90,306,680","97,232,474","92,318,007","120,272,496","106,260,685","100,641,265","89,367,538","93,449,239","120,546,333","84,700,953","116,710,412","98,765,186","106,359,971","91,252,420","76,693,929","101,106,837","78,133,218","82,971,298","82,441,915","90,338,828","105,807,451","94,743,430","98,144,571","91,120,447","86,924,283","98,254,056"
